Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,1.5359281231969386,6794,0.4327347659699735,533.2378127759788,9837.014745460112,0.16743118312494848,64,44.0,Fear,47.0,54.0,46.0,1.5359281231969386,0.0028803811102612203
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,149.33286900000002,3.3185082000000006,45,0.5777777777777777,97.98177777777778,1886.7026955555555,0.034291444444444444,5,,,,,,3.3185082000000006,0.033868626139100695
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,68.43476991874181,763,0.4744429882044561,2941.8256880733943,38.30898730275229,0.9662181769331586,18,74.0,Greed,72.0,71.0,72.0,68.43476991874181,0.02326268690772084
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,47.11139401295022,2471,0.5337919870497774,3205.000631323351,12.396516649534602,0.959135382840955,32,44.0,Fear,47.0,54.0,46.0,47.11139401295022,0.014699340010269462
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,30.02094,6.004188,5,0.6,542.1279999999999,1.6696840000000002,0.18974439999999998,2,,,,,,6.004188,0.011075222087772632
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,0.0,3,0.0,159.0,1898.1333333333332,0.0,1,59.0,Greed,64.0,64.0,68.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,0.0,2,0.0,23066.935,46132.0,5.5360629999999995,1,69.0,Greed,72.0,70.0,68.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,-206.07467185185183,27,0.3333333333333333,3048.5944444444444,4022.6995544814818,0.14454,4,84.0,Extreme Greed,81.0,75.0,80.0,-206.07467185185183,-0.06759661726320751
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,2.696934975,80,0.1,767.24775,0.113085855875,0.4672878625,20,50.0,Neutral,51.0,47.0,46.0,2.696934975,0.003515077072562285
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,237.13699366025642,156,0.46794871794871795,2583.170064102564,5.850898875576923,0.08448846487179487,15,74.0,Greed,72.0,71.0,72.0,237.13699366025642,0.09180076718744484
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,-170.05638139828082,349,0.2636103151862464,1648.5575358166188,9.06767722808023,0.1612829652148997,9,44.0,Fear,47.0,54.0,46.0,-170.05638139828082,-0.10315465350988966
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,-3499.0325470000002,-17.671881550505052,198,0.9545454545454546,1218.5765151515152,1.2891516666666667,0.1275205707070707,3,,,,,,-17.671881550505052,-0.01450206969425122
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,242.94015181944445,144,0.5277777777777778,4554.800138888889,9659.028077916668,0.9698380954861112,6,74.0,Greed,72.0,71.0,72.0,242.94015181944445,0.053337170547884456
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,-5.958334550362845,3445,0.3193033381712627,4800.430827285922,7087.961241190131,0.3828738578577649,11,44.0,Fear,47.0,54.0,46.0,-5.958334550362845,-0.0012412082924922764
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,39.856640251308896,191,0.41361256544502617,2786.4265445026176,20.10439298429319,0.5841878432460733,10,74.0,Greed,72.0,71.0,72.0,39.856640251308896,0.01430385463774118
